date,area,cumulative_cases,cumulative_deaths,cumulative_vaccinated,daily_cases_roll_avg,daily_deaths_roll_avg
2020-12-08,East Midlands,151661.0,4868.0,527.0,,
2020-12-09,East Midlands,153071.0,4924.0,538.0,,
2020-12-10,East Midlands,154522.0,4963.0,547.0,,
2020-12-11,East Midlands,155966.0,5001.0,561.0,,
2020-12-12,East Midlands,157001.0,5066.0,561.0,,
2020-12-13,East Midlands,158059.0,5086.0,561.0,,
2020-12-14,East Midlands,160124.0,5116.0,577.0,1411.857142857143,44.57142857142857
2020-12-15,East Midlands,161890.0,5173.0,595.0,1461.2857142857142,43.57142857142857
2020-12-16,East Midlands,163595.0,5251.0,607.0,1503.4285714285713,46.714285714285715
2020-12-17,East Midlands,165299.0,5297.0,612.0,1539.5714285714287,47.714285714285715
2020-12-18,East Midlands,167020.0,5335.0,612.0,1579.142857142857,
2020-12-18,East Midlands,167020.0,5335.0,612.0,1677.142857142857,
2020-12-19,East Midlands,168383.0,5391.0,633.0,1720.7142857142858,
2020-12-20,East Midlands,170093.0,5417.0,633.0,1670.0,
2020-12-21,East Midlands,172516.0,5434.0,648.0,1763.857142857143,
2020-12-22,East Midlands,174622.0,5506.0,659.0,1821.142857142857,
2020-12-23,East Midlands,176665.0,5585.0,663.0,1869.5714285714287,
2020-12-24,East Midlands,178119.0,5632.0,663.0,1831.4285714285713,47.857142857142854
2020-12-25,East Midlands,178828.0,5675.0,663.0,1686.857142857143,48.57142857142857
2020-12-26,East Midlands,180722.0,5689.0,663.0,1762.7142857142858,42.57142857142857
2020-12-27,East Midlands,183165.0,5715.0,663.0,1867.4285714285713,42.57142857142857
2020-12-28,East Midlands,185705.0,5733.0,665.0,1884.142857142857,42.714285714285715
2020-12-29,East Midlands,189757.0,5764.0,972.0,2162.1428571428573,36.857142857142854
2020-12-30,East Midlands,193430.0,5832.0,1529.0,2395.0,35.285714285714285
2020-12-31,East Midlands,196447.0,5900.0,1992.0,2618.285714285714,38.285714285714285
2021-01-01,East Midlands,198142.0,5949.0,1995.0,2759.1428571428573,39.142857142857146
2021-01-02,East Midlands,201631.0,5980.0,2468.0,2987.0,41.57142857142857
